year,FDI_Pct_GDP,GDP_USD,Inflation_Pct
2010-01-31,3.93541996731512,6192564874453.29,3.17532475269199
2010-02-28,3.93541996731512,6192564874453.29,3.17532475269199
2010-03-31,3.93541996731512,6192564874453.29,3.17532475269199
2010-04-30,3.93541996731512,6192564874453.29,3.17532475269199
2010-05-31,3.93541996731512,6192564874453.29,3.17532475269199
2010-06-30,3.93541996731512,6192564874453.29,3.17532475269199
2010-07-31,3.93541996731512,6192564874453.29,3.17532475269199
2010-08-31,3.93541996731512,6192564874453.29,3.17532475269199
2010-09-30,3.93541996731512,6192564874453.29,3.17532475269199
2010-10-31,3.93541996731512,6192564874453.29,3.17532475269199
2010-11-30,3.93541996731512,6192564874453.29,3.17532475269199
2010-12-31,3.93541996731512,6192564874453.29,3.17532475269199
2011-01-31,3.65069190228423,7671757207851.29,5.55389892257493
2011-02-28,3.65069190228423,7671757207851.29,5.55389892257493
2011-03-31,3.65069190228423,7671757207851.29,5.55389892257493
2011-04-30,3.65069190228423,7671757207851.29,5.55389892257493
2011-05-31,3.65069190228423,7671757207851.29,5.55389892257493
2011-06-30,3.65069190228423,7671757207851.29,5.55389892257493
2011-07-31,3.65069190228423,7671757207851.29,5.55389892257493
2011-08-31,3.65069190228423,7671757207851.29,5.55389892257493
2011-09-30,3.65069190228423,7671757207851.29,5.55389892257493
2011-10-31,3.65069190228423,7671757207851.29,5.55389892257493
2011-11-30,3.65069190228423,7671757207851.29,5.55389892257493
2011-12-31,3.65069190228423,7671757207851.29,5.55389892257493
2012-01-31,2.78099138181613,8673664713189.24,2.61952432645541
2012-02-29,2.78099138181613,8673664713189.24,2.61952432645541
2012-03-31,2.78099138181613,8673664713189.24,2.61952432645541
2012-04-30,2.78099138181613,8673664713189.24,2.61952432645541
2012-05-31,2.78099138181613,8673664713189.24,2.61952432645541
2012-06-30,2.78099138181613,8673664713189.24,2.61952432645541
2012-07-31,2.78099138181613,8673664713189.24,2.61952432645541
2012-08-31,2.78099138181613,8673664713189.24,2.61952432645541
2012-09-30,2.78099138181613,8673664713189.24,2.61952432645541
2012-10-31,2.78099138181613,8673664713189.24,2.61952432645541
2012-11-30,2.78099138181613,8673664713189.24,2.61952432645541
2012-12-31,2.78099138181613,8673664713189.24,2.61952432645541
2013-01-31,2.98598708261986,9743124247267.24,2.62105001748115
2013-02-28,2.98598708261986,9743124247267.24,2.62105001748115
2013-03-31,2.98598708261986,9743124247267.24,2.62105001748115
2013-04-30,2.98598708261986,9743124247267.24,2.62105001748115
2013-05-31,2.98598708261986,9743124247267.24,2.62105001748115
2013-06-30,2.98598708261986,9743124247267.24,2.62105001748115
2013-07-31,2.98598708261986,9743124247267.24,2.62105001748115
2013-08-31,2.98598708261986,9743124247267.24,2.62105001748115
2013-09-30,2.98598708261986,9743124247267.24,2.62105001748115
2013-10-31,2.98598708261986,9743124247267.24,2.62105001748115
2013-11-30,2.98598708261986,9743124247267.24,2.62105001748115
2013-12-31,2.98598708261986,9743124247267.24,2.62105001748115
2014-01-31,2.51155883670463,10674533168257.4,1.92164162788521
2014-02-28,2.51155883670463,10674533168257.4,1.92164162788521
2014-03-31,2.51155883670463,10674533168257.4,1.92164162788521
2014-04-30,2.51155883670463,10674533168257.4,1.92164162788521
2014-05-31,2.51155883670463,10674533168257.4,1.92164162788521
2014-06-30,2.51155883670463,10674533168257.4,1.92164162788521
2014-07-31,2.51155883670463,10674533168257.4,1.92164162788521
2014-08-31,2.51155883670463,10674533168257.4,1.92164162788521
2014-09-30,2.51155883670463,10674533168257.4,1.92164162788521
2014-10-31,2.51155883670463,10674533168257.4,1.92164162788521
2014-11-30,2.51155883670463,10674533168257.4,1.92164162788521
2014-12-31,2.51155883670463,10674533168257.4,1.92164162788521
2015-01-31,2.14957284731563,11280814787468.9,1.43702380935655
2015-02-28,2.14957284731563,11280814787468.9,1.43702380935655
2015-03-31,2.14957284731563,11280814787468.9,1.43702380935655
2015-04-30,2.14957284731563,11280814787468.9,1.43702380935655
2015-05-31,2.14957284731563,11280814787468.9,1.43702380935655
2015-06-30,2.14957284731563,11280814787468.9,1.43702380935655
2015-07-31,2.14957284731563,11280814787468.9,1.43702380935655
2015-08-31,2.14957284731563,11280814787468.9,1.43702380935655
2015-09-30,2.14957284731563,11280814787468.9,1.43702380935655
2015-10-31,2.14957284731563,11280814787468.9,1.43702380935655
2015-11-30,2.14957284731563,11280814787468.9,1.43702380935655
2015-12-31,2.14957284731563,11280814787468.9,1.43702380935655
2016-01-31,1.52539470315394,11456024084962.0,2.00000182191943
2016-02-29,1.52539470315394,11456024084962.0,2.00000182191943
2016-03-31,1.52539470315394,11456024084962.0,2.00000182191943
2016-04-30,1.52539470315394,11456024084962.0,2.00000182191943
2016-05-31,1.52539470315394,11456024084962.0,2.00000182191943
2016-06-30,1.52539470315394,11456024084962.0,2.00000182191943
2016-07-31,1.52539470315394,11456024084962.0,2.00000182191943
2016-08-31,1.52539470315394,11456024084962.0,2.00000182191943
2016-09-30,1.52539470315394,11456024084962.0,2.00000182191943
2016-10-31,1.52539470315394,11456024084962.0,2.00000182191943
2016-11-30,1.52539470315394,11456024084962.0,2.00000182191943
2016-12-31,1.52539470315394,11456024084962.0,2.00000182191943
2017-01-31,1.32468971748482,12537559062282.9,1.59313600071436
2017-02-28,1.32468971748482,12537559062282.9,1.59313600071436
2017-03-31,1.32468971748482,12537559062282.9,1.59313600071436
2017-04-30,1.32468971748482,12537559062282.9,1.59313600071436
2017-05-31,1.32468971748482,12537559062282.9,1.59313600071436
2017-06-30,1.32468971748482,12537559062282.9,1.59313600071436
2017-07-31,1.32468971748482,12537559062282.9,1.59313600071436
2017-08-31,1.32468971748482,12537559062282.9,1.59313600071436
2017-09-30,1.32468971748482,12537559062282.9,1.59313600071436
2017-10-31,1.32468971748482,12537559062282.9,1.59313600071436
2017-11-30,1.32468971748482,12537559062282.9,1.59313600071436
2017-12-31,1.32468971748482,12537559062282.9,1.59313600071436
2018-01-31,1.66361992284408,14147765772963.8,2.07479039965576
2018-02-28,1.66361992284408,14147765772963.8,2.07479039965576
2018-03-31,1.66361992284408,14147765772963.8,2.07479039965576
2018-04-30,1.66361992284408,14147765772963.8,2.07479039965576
2018-05-31,1.66361992284408,14147765772963.8,2.07479039965576
2018-06-30,1.66361992284408,14147765772963.8,2.07479039965576
2018-07-31,1.66361992284408,14147765772963.8,2.07479039965576
2018-08-31,1.66361992284408,14147765772963.8,2.07479039965576
2018-09-30,1.66361992284408,14147765772963.8,2.07479039965576
2018-10-31,1.66361992284408,14147765772963.8,2.07479039965576
2018-11-30,1.66361992284408,14147765772963.8,2.07479039965576
2018-12-31,1.66361992284408,14147765772963.8,2.07479039965576
2019-01-31,1.28549226847992,14560167101283.4,2.89923416358227
2019-02-28,1.28549226847992,14560167101283.4,2.89923416358227
2019-03-31,1.28549226847992,14560167101283.4,2.89923416358227
2019-04-30,1.28549226847992,14560167101283.4,2.89923416358227
2019-05-31,1.28549226847992,14560167101283.4,2.89923416358227
2019-06-30,1.28549226847992,14560167101283.4,2.89923416358227
2019-07-31,1.28549226847992,14560167101283.4,2.89923416358227
2019-08-31,1.28549226847992,14560167101283.4,2.89923416358227
2019-09-30,1.28549226847992,14560167101283.4,2.89923416358227
2019-10-31,1.28549226847992,14560167101283.4,2.89923416358227
2019-11-30,1.28549226847992,14560167101283.4,2.89923416358227
2019-12-31,1.28549226847992,14560167101283.4,2.89923416358227
2020-01-31,1.68770756292082,14996414166715.1,2.41942189457782
2020-02-29,1.68770756292082,14996414166715.1,2.41942189457782
2020-03-31,1.68770756292082,14996414166715.1,2.41942189457782
2020-04-30,1.68770756292082,14996414166715.1,2.41942189457782
2020-05-31,1.68770756292082,14996414166715.1,2.41942189457782
2020-06-30,1.68770756292082,14996414166715.1,2.41942189457782
2020-07-31,1.68770756292082,14996414166715.1,2.41942189457782
2020-08-31,1.68770756292082,14996414166715.1,2.41942189457782
2020-09-30,1.68770756292082,14996414166715.1,2.41942189457782
2020-10-31,1.68770756292082,14996414166715.1,2.41942189457782
2020-11-30,1.68770756292082,14996414166715.1,2.41942189457782
2020-12-31,1.68770756292082,14996414166715.1,2.41942189457782
2021-01-31,1.8903454142588,18201698719564.0,0.981015135544882
2021-02-28,1.8903454142588,18201698719564.0,0.981015135544882
2021-03-31,1.8903454142588,18201698719564.0,0.981015135544882
2021-04-30,1.8903454142588,18201698719564.0,0.981015135544882
2021-05-31,1.8903454142588,18201698719564.0,0.981015135544882
2021-06-30,1.8903454142588,18201698719564.0,0.981015135544882
2021-07-31,1.8903454142588,18201698719564.0,0.981015135544882
2021-08-31,1.8903454142588,18201698719564.0,0.981015135544882
2021-09-30,1.8903454142588,18201698719564.0,0.981015135544882
2021-10-31,1.8903454142588,18201698719564.0,0.981015135544882
2021-11-30,1.8903454142588,18201698719564.0,0.981015135544882
2021-12-31,1.8903454142588,18201698719564.0,0.981015135544882
2022-01-31,1.03841365474349,18316765021690.2,1.97357555739051
2022-02-28,1.03841365474349,18316765021690.2,1.97357555739051
2022-03-31,1.03841365474349,18316765021690.2,1.97357555739051
2022-04-30,1.03841365474349,18316765021690.2,1.97357555739051
2022-05-31,1.03841365474349,18316765021690.2,1.97357555739051
2022-06-30,1.03841365474349,18316765021690.2,1.97357555739051
2022-07-31,1.03841365474349,18316765021690.2,1.97357555739051
2022-08-31,1.03841365474349,18316765021690.2,1.97357555739051
2022-09-30,1.03841365474349,18316765021690.2,1.97357555739051
2022-10-31,1.03841365474349,18316765021690.2,1.97357555739051
2022-11-30,1.03841365474349,18316765021690.2,1.97357555739051
2022-12-31,1.03841365474349,18316765021690.2,1.97357555739051
2023-01-31,0.280991103634816,18270356654533.2,0.234836828893051
2023-02-28,0.280991103634816,18270356654533.2,0.234836828893051
2023-03-31,0.280991103634816,18270356654533.2,0.234836828893051
2023-04-30,0.280991103634816,18270356654533.2,0.234836828893051
2023-05-31,0.280991103634816,18270356654533.2,0.234836828893051
2023-06-30,0.280991103634816,18270356654533.2,0.234836828893051
2023-07-31,0.280991103634816,18270356654533.2,0.234836828893051
2023-08-31,0.280991103634816,18270356654533.2,0.234836828893051
2023-09-30,0.280991103634816,18270356654533.2,0.234836828893051
2023-10-31,0.280991103634816,18270356654533.2,0.234836828893051
2023-11-30,0.280991103634816,18270356654533.2,0.234836828893051
2023-12-31,0.280991103634816,18270356654533.2,0.234836828893051
2024-01-31,0.0989988051182737,18743803170827.2,0.218128938439177
